image_id,Carriageway,Upgrade cost,Motorcycle observed flow,Bicycle observed flow,Pedestrian observed flow across the road,Pedestrian observed flow along the road driver-side,Pedestrian observed flow along the road passenger-side,Land use - driver-side,Land use - passenger-side,Area type,Speed limit,Motorcycle speed limit,Truck speed limit,Differential speed limits,Median type,Centreline rumble strips,Roadside severity - driver-side distance,Roadside severity - driver-side object,Roadside severity - passenger-side distance,Roadside severity - passenger-side object,Shoulder rumble strips,Paved shoulder - driver-side,Paved shoulder - passenger-side,Intersection type,Intersection channelisation,Intersecting road volume,Intersection quality,Property access points,Number of lanes,Lane width,Curvature,Quality of curve,Grade,Road condition,Skid resistance / grip,Delineation,Street lighting,Pedestrian crossing facilities - inspected road,Pedestrian crossing quality,Pedestrian crossing facilities - intersecting road,Pedestrian fencing,Speed management / traffic calming,Vehicle parking,Sidewalk - driver-side,Sidewalk - passenger-side,Service road,Facilities for motorised two wheelers,Facilities for bicycles,Roadworks,Sight distance,School zone warning,School zone crossing supervisor
4,1,3,2,1,1,1,1,1,4,2,11,11,7,1,6,1,2,13,2,13,1,3,3,4,2,5,1,1,4,1,1,3,1,1,1,1,2,1,1,7,1,1,2,5,2,1,6,4,1,1,4,3
5,1,3,2,1,1,1,1,1,4,2,11,11,7,1,6,1,2,13,2,13,1,3,3,4,2,5,1,1,4,1,1,3,1,1,1,1,2,1,1,7,1,1,2,5,2,1,6,4,1,1,4,3
6,1,3,2,1,1,1,1,1,4,2,11,11,7,1,6,1,2,13,2,13,1,3,3,4,2,5,1,1,4,1,1,3,1,1,1,1,2,1,1,7,1,1,2,5,2,1,6,4,1,1,4,3
7,1,3,2,1,1,1,1,1,4,2,11,11,7,1,6,1,2,13,2,13,1,3,3,4,2,5,1,1,4,1,1,3,1,1,1,1,2,1,1,7,1,1,2,5,2,1,6,4,1,1,4,3
24,1,3,1,1,1,1,1,1,4,2,11,11,7,1,6,1,1,12,2,12,1,3,3,5,2,3,1,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,1,6,4,1,1,4,3
25,1,3,1,1,1,1,1,1,4,2,11,11,7,1,6,1,1,12,2,12,1,3,3,5,2,3,1,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,1,6,4,1,1,4,3
26,1,3,1,1,1,1,1,1,4,2,11,11,7,1,6,1,1,12,2,12,1,3,3,5,2,3,1,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,1,6,4,1,1,4,3
27,1,3,1,1,1,1,1,1,4,2,11,11,7,1,6,1,1,12,2,12,1,3,3,5,2,3,1,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,1,6,4,1,1,4,3
124,1,3,2,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,1,12,1,3,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,2,6,4,1,1,4,3
125,1,3,2,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,1,12,1,3,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,2,6,4,1,1,4,3
126,1,3,2,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,1,12,1,3,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,2,6,4,1,1,4,3
127,1,3,2,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,1,12,1,3,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,2,6,4,1,1,4,3
763,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,2,1,1,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,1,1,7,1,2,1,5,5,2,6,4,1,1,2,1
764,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,2,1,1,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,1,1,7,1,2,1,5,5,2,6,4,1,1,2,1
765,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,2,1,1,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,1,1,7,1,2,1,5,5,2,6,4,1,1,2,1
766,1,3,1,1,1,1,1,1,4,2,19,13,11,2,5,1,2,2,2,2,1,1,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,1,1,7,1,2,1,5,5,2,6,4,1,1,2,1
892,1,3,1,1,1,1,1,1,4,2,19,13,11,2,1,1,1,1,2,3,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,4,3
893,1,3,1,1,1,1,1,1,4,2,19,13,11,2,1,1,1,1,2,3,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,4,3
894,1,3,1,1,1,1,1,1,4,2,19,13,11,2,1,1,1,1,2,3,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,4,3
895,1,3,1,1,1,1,1,1,4,2,19,13,11,2,1,1,1,1,2,3,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,4,3
1133,1,2,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,4,12,1,4,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,4,3
1134,1,2,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,4,12,1,4,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,4,3
1135,1,2,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,4,12,1,4,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,4,3
1136,1,2,1,1,1,1,1,1,4,2,13,13,11,1,2,1,1,2,4,12,1,4,2,12,1,7,3,4,3,1,1,3,1,1,2,1,2,7,3,7,1,1,1,5,5,2,6,4,1,1,4,3
1175,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,2,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,1,2,6,4,1,1,4,3
1176,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,2,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,1,2,6,4,1,1,4,3
1177,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,2,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,1,2,6,4,1,1,4,3
1178,1,2,1,1,1,1,1,1,4,2,13,13,11,1,1,1,1,1,2,2,1,3,2,12,1,7,3,4,3,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,1,2,6,4,1,1,4,3
